School Name,Address,Image,Educational System,Educational Stages
 مدارس رينبو العالمية ( قوس قزح ),الرياض – حي العليا – 30 العلياالرياض,https://schoolynetwork.com/images/sobipro/entries/272/thumb_download.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس بوابة العلم العالمية,الرياض حي المربعالرياض,https://schoolynetwork.com/images/sobipro/entries/423/thumb_7e879673-795b-483a-9ea8-0e87854fd4bc.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس الرائد العالمية,- الموقع - مخرج 7 - حي الوادي - شارع عبد الله المخضوبالرياض,https://schoolynetwork.com/images/sobipro/entries/231/thumb_20663734_10155120120414011_5757603823578622873_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس أشبال المستقبل الأهلية,حى القدس– مخرج ١٠– شارع سعود الكبير– شارع شبيب الليثيالرياض,https://schoolynetwork.com/images/sobipro/entries/163/thumb_IMG-20180418-WA0010.jpg,أخرى,"['تمهيدي', 'ابتدائي']"
 شركة اضواء الرياض التعليمية,شارع الشيخ جابر  حي القادسيةالرياض,https://schoolynetwork.com/images/sobipro/entries/279/thumb_شعار اضواء الرياض الجديد __.jpg,أخرى,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس سحاب العلم العالمية,مخرج 8 – حي اشبيلية – شارع المقضاة – متفرع من طريق الامام سعودالرياض,School Has No Image!,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس الجودة الأهلية,مخرج ٩ بجوار النخيل مولالرياض,https://schoolynetwork.com/images/sobipro/entries/174/thumb_twitter-01.jpg,أخرى,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس رواد النصر العالمية,الرياض – حي العلياالرياض,https://schoolynetwork.com/images/sobipro/entries/269/thumb_رواد-النصر-09f91aa800b6130499a43b222aaa96b1.png,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس نوابغ العلم العالمية,حي العليا – شارع الامير فهد بن سعد بن عبد الرحمن – متفرع من شارع الامير عبد العزيز بن مساعد بن جلوي Olaya – prince fahd bin sa’d bin abdulrahman streeالرياض,https://schoolynetwork.com/images/sobipro/entries/162/thumb_IMG_329.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 المدرسة الامريكية العالمية,جدة – حي الزهراء – شارع عبد الله بن سيدانجدة,https://schoolynetwork.com/images/sobipro/entries/263/thumb_28276351_10155631904709011_1562005475433659626_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس غانا العالمية,الرياض – حي السليمانيةالرياض,https://schoolynetwork.com/images/sobipro/entries/275/thumb_267346_349559911804684_2061323795_n.png,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدرسة بوابة المعالي العالمية,القصيم - حي البريدة -حي المطار القديم - شارع الوحدةالقصيم,https://schoolynetwork.com/images/sobipro/entries/210/thumb_ljTI3cPQVGLxjpu1lmYu7Djb0krn78L8.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس المينا العالمية,مخرج 12 – حي السليمانية – شارع العيينة – متفرع من شارع الملك محمد الخامسالرياض,https://schoolynetwork.com/images/sobipro/entries/142/thumb_almeena.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس دلتا العالمية,- الموقع - مخرج 4 - حي المروج - شارع الحفصيون - متفرع من شارع الامير تركي بن عبد العزيز الثانيالرياض,https://schoolynetwork.com/images/sobipro/entries/219/thumb_17630085_10154708299109011_8620607143356088146_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس الجوف العالمية,الجوف – سكاكا – السليمانية – طريق القنطرة – شارع سعد بن صالحسكاكا,https://schoolynetwork.com/images/sobipro/entries/267/thumb_27751668_10155593447084011_5269088510117234969_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس الحصان العالمية - الرياض,مخرج 8 – حي قرطبة – شارع رقوان متفرع من شارع البيت العتيقالرياض,https://schoolynetwork.com/images/sobipro/entries/240/thumb_26169636_10155508226694011_2281755931461894332_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس الفارابي العالمية,حي الروضةالرياض,https://schoolynetwork.com/images/sobipro/entries/109/thumb_alfarabischool_logo.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس المينا العالمية,مخرج 12 – حي السليمانية – شارع العيينة – متفرع من شارع الملك محمد الخامسالرياض,https://schoolynetwork.com/images/sobipro/entries/142/thumb_almeena.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس دريم العالمية,الموقع - مخرج 6 - حي النزهة - تقاطع طريق أبي بكر الصديق مع طريق الملك عبد الله - مقابل مفروشات المطلقالرياض,https://schoolynetwork.com/images/sobipro/entries/228/thumb_20292921_10155080550854011_1431744979045615342_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس رويال العالمية,"مخرج 20 – الخنشليلة ( المنصورة ) – شارع الانباري – شمال حديث المنصورة. Riyadh, Exit 20, Khanshaleela (Almansoora), ALanbari st, North of Almansoora paالرياض",https://schoolynetwork.com/images/sobipro/entries/178/thumb_achWqt4Y.png,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس نوره العالمية,الرياض,https://schoolynetwork.com/images/sobipro/entries/283/thumb_1.jpg,School System Not Defined!,Education Stages Not Defined!
 مدارس الفيصلية العالمية,حي المربع – شارع الملك فيصلالرياض,https://schoolynetwork.com/images/sobipro/entries/281/thumb_faisalia.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس دوم العالمية,- مخرج 5 - حي المصيف - شارع القناعي - متفرع من طريق الملك عبد العزيز.الرياض,https://schoolynetwork.com/images/sobipro/entries/166/thumb_mdrs_dwm_llmy.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس الكورنيش العالمية,جدة . حي الرحاب ( ممشي الرحاب .صفو )جدة,https://schoolynetwork.com/images/sobipro/entries/183/thumb_vwzsxmSNla_cGCQmd3LsLQFrKtITBVfK.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 المدرسة العالمية المتعددة الجنسيات,الموقع - مخرج 8 - حي الفلاح - شارع البركة - متفرع من شارع الميزان - طريق عثمان بان عفانالرياض,https://schoolynetwork.com/images/sobipro/entries/234/thumb_20729580_10155136239489011_3334184133808649937_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس سحاب العلم العالمية,مخرج 8 – حي اشبيلية – شارع المقضاة – متفرع من طريق الامام سعودالرياض,https://schoolynetwork.com/images/sobipro/entries/140/thumb_sahab alelm.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس دلتا العالمية,- الموقع - مخرج 4 - حي المروج - شارع الحفصيون - متفرع من شارع الامير تركي بن عبد العزيز الثانيالرياض,https://schoolynetwork.com/images/sobipro/entries/219/thumb_17630085_10154708299109011_8620607143356088146_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس الشرق الأوسط العالمية,وسط الرياض – حي السليمانية – شارع جعفر بن أبي طالب.الرياض,https://schoolynetwork.com/images/sobipro/entries/255/thumb_26730761_10155520855589011_2383496899143672527_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس سعود العالمية,الرياض – حي العليا - شارع حميد الطويل – مقابل لوكاليزر مولالرياض,School Has No Image!,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس جنى دان العالمية,خرج 4 - حي العذر الشمالي - طريق الأمير سلطا بن عبد العزيزالرياض,https://schoolynetwork.com/images/sobipro/entries/135/thumb_jana dan.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس العرين العالمية,حي السليمانية – مقابل شرطة السليمانيةالرياض,https://schoolynetwork.com/images/sobipro/entries/169/thumb_yRZCwWFqpoWKQKzvf9l113ttALO62xpw.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس ابها العالمية,ابها – حي الحسام –طريق الملك فهدابها,https://schoolynetwork.com/images/sobipro/entries/273/thumb_medium.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس قواعد الحصان العالمية,الخبر – مدينة العمال – حي العقربية – تقاطع 16 امام نادي القادسيةالخبر,https://schoolynetwork.com/images/sobipro/entries/278/thumb_images.jpg,بريطاني,"['تمهيدي', 'ابتدائي']"
 مدارس أشبال المستقبل الأهلية,حى القدس– مخرج ١٠– شارع سعود الكبير– شارع شبيب الليثيالرياض,https://schoolynetwork.com/images/sobipro/entries/300/thumb_1c8556244fa89f2f1c7d15a8e776bf47.jpg,أخرى,"['تمهيدي', 'ابتدائي']"
 مدارس الأماكن العالمية الثانية,حي العزيزية تقاطع شارع الشاطئ مع شارع الشامية بجوار جامع البوارديالرياض,https://schoolynetwork.com/images/sobipro/entries/156/thumb_25659871_10155483520934011_1683963728188577434_n.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس الخليج العالمية,الخبر حي العزيزية جسر الملك فهدالخبر,https://schoolynetwork.com/images/sobipro/entries/197/thumb_GISK.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس جسور المعرفة,الرياض – مخرج 13 – حي الربوةالرياض,https://schoolynetwork.com/images/sobipro/entries/270/thumb_14141582_1166606653390908_1963198568780202967_n.jpg,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس الطموح العالمية,الموقع - مخرج 8 - حي قرطبة.– شارع دباس بن رشد.الرياض,https://schoolynetwork.com/images/sobipro/entries/238/thumb_21369362_10155204385039011_4742573167275474948_n.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس المينا العالمية,مخرج 12 – حي السليمانية – شارع العيينة – متفرع من شارع الملك محمد الخامسالرياض,https://schoolynetwork.com/images/sobipro/entries/248/thumb_26907665_10155564596374011_5604752642711032594_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس غانا العالمية,الرياض – حي السليمانيةالرياض,https://schoolynetwork.com/images/sobipro/entries/275/thumb_267346_349559911804684_2061323795_n.png,بريطاني,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
 مدارس أشبال المستقبل الأهلية,حى القدس– مخرج ١٠– شارع سعود الكبير– شارع شبيب الليثيالرياض,https://schoolynetwork.com/images/sobipro/entries/300/thumb_1c8556244fa89f2f1c7d15a8e776bf47.jpg,أخرى,"['تمهيدي', 'ابتدائي']"
 مدارس الامجاد العالمية,الموقع - - مخرج 9 حي الحمراء خلف هرفي (بنات) مخرج 9 حي الشهداء تقاطع خالد بن الوليد مع الامام سعود خلف المجلس الخليجيالرياض,School Has No Image!,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس نخبة الخبر العالمية,الظهران - حي الدوحة الجنوبية -شارع اسعد بن زرارةالظهران,https://schoolynetwork.com/images/sobipro/entries/202/thumb_11947458_942682785792650_7516405741310996186_n.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس عصر التربية العالمية - فرع الياسمين,مخرج 4 – حي الياسمين – شارع العليا – بعد التقاطع مع طريق اس بن مالك اتجاه الشمال .الرياض,https://schoolynetwork.com/images/sobipro/entries/215/thumb_asr tarbia - ruh - shefaa.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط']"
 مدارس جيل الصفا العالمية,حي الفيحاءالرياض,https://schoolynetwork.com/images/sobipro/entries/124/thumb_jeel_assafa_logo.jpg,امريكي,"['تمهيدي', 'ابتدائي']"
 مدارس منار الشمس العالمية,حي العليا – تقاطع شارع العليا مع طريق خريص – شارع البادرية أمام حراج العليا للكميوتر.الرياض,https://schoolynetwork.com/images/sobipro/entries/158/thumb_slis.jpg,امريكي,"['تمهيدي', 'ابتدائي', 'متوسط', 'ثانوي']"
